County,State,total_population,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
Shasta,CA,180080.0,87.61,1.25,3.18,3.14,0.23,4.6
Sierra,CA,3005.0,92.61,0.7,2.56,0.87,0.13,3.13
Siskiyou,CA,43539.0,85.85,1.53,5.12,1.59,0.36,5.55
Solano,CA,447643.0,59.6,14.77,1.29,16.16,1.04,7.15
Sonoma,CA,494336.0,86.75,2.07,2.18,4.57,0.41,4.01
Stanislaus,CA,550660.0,83.26,3.52,1.99,6.14,0.93,4.15
Sutter,CA,96971.0,72.7,2.75,2.39,16.97,0.43,4.77
Tehama,CA,65084.0,90.25,1.07,3.31,1.44,0.23,3.7
Trinity,CA,12285.0,86.99,0.76,5.18,1.5,0.24,5.34
Tulare,CA,466195.0,88.17,2.18,2.77,3.98,0.23,2.67
Tuolumne,CA,54478.0,90.33,2.01,2.28,1.49,0.28,3.62
Ventura,CA,846006.0,84.05,2.4,1.86,7.88,0.29,3.52
Yolo,CA,220500.0,73.99,2.98,1.78,15.06,0.58,5.62
Yuba,CA,78668.0,78.39,4.45,2.86,7.35,0.55,6.41
Baker,OR,16124.0,93.7,0.69,1.56,0.93,0.15,2.98
Benton,OR,93053.0,86.53,1.22,0.88,7.02,0.27,4.07
Clackamas,OR,418187.0,88.88,1.19,1.09,4.86,0.29,3.69
Clatsop,OR,40224.0,92.57,0.87,1.35,1.63,0.3,3.29
Columbia,OR,52354.0,92.42,0.76,1.55,1.14,0.24,3.89
Coos,OR,64487.0,90.44,0.62,2.99,1.27,0.28,4.4
Crook,OR,24404.0,94.72,0.46,1.74,0.7,0.11,2.28
Curry,OR,22925.0,91.83,0.55,2.64,0.85,0.17,3.97
Deschutes,OR,197692.0,94.1,0.57,1.1,1.28,0.16,2.8
Douglas,OR,110980.0,92.58,0.54,2.11,1.1,0.18,3.48
Gilliam,OR,1912.0,93.51,0.26,2.14,0.94,0.52,2.62
Grant,OR,7199.0,94.3,0.28,1.69,0.69,0.13,2.9
Harney,OR,7393.0,90.63,1.04,4.42,0.6,0.01,3.3
Hood River,OR,23382.0,93.32,0.8,1.28,1.77,0.24,2.61
Jackson,OR,220944.0,91.84,0.98,1.65,1.58,0.36,3.59
Jefferson,OR,24658.0,75.88,1.22,18.35,0.88,0.24,3.44
Josephine,OR,87487.0,92.88,0.61,1.7,1.07,0.28,3.46
Klamath,OR,68238.0,88.44,0.93,4.97,1.15,0.22,4.3
Lake,OR,7869.0,91.21,0.74,2.57,1.27,0.2,4.02
Lane,OR,382067.0,89.04,1.26,1.64,3.17,0.27,4.62
Lincoln,OR,49962.0,89.6,0.93,4.04,1.36,0.21,3.85
Linn,OR,129749.0,92.47,0.8,1.66,1.26,0.22,3.6
Malheur,OR,30571.0,91.95,1.68,2.01,1.51,0.22,2.64
Marion,OR,347818.0,88.63,1.58,2.62,2.48,1.03,3.66
Morrow,OR,11603.0,92.9,1.12,2.52,0.59,0.32,2.55
Multnomah,OR,812855.0,79.04,6.01,1.45,8.08,0.69,4.73
Polk,OR,86085.0,89.85,1.12,2.48,2.07,0.49,3.98
Sherman,OR,1780.0,93.43,0.45,2.87,0.84,0.06,2.36
Tillamook,OR,27036.0,93.35,0.74,1.56,1.02,0.35,2.97
Umatilla,OR,77950.0,90.38,1.23,4.33,1.15,0.26,2.66
Union,OR,26835.0,92.55,0.83,1.27,1.26,1.35,2.74
Wallowa,OR,7208.0,95.59,0.46,0.94,0.5,0.14,2.37
Wasco,OR,26682.0,90.96,0.81,3.76,1.12,0.72,2.63
Washington,OR,601592.0,79.63,2.53,1.13,11.71,0.53,4.48
Wheeler,OR,1332.0,91.89,0.23,2.55,1.05,0.23,4.05
Yamhill,OR,107100.0,91.36,1.2,2.01,2.02,0.25,3.16
